FileName,TruePositive,FalsePositive,FalseNegative,Precision,Recall,F-measure
10_95.png,73,6,29,0.924050632911,0.71568627451,0.806629834254
11_95.png,83,11,12,0.882978723404,0.873684210526,0.878306878307
12_111.png,70,11,21,0.864197530864,0.769230769231,0.813953488372
13_117.png,91,27,7,0.771186440678,0.928571428571,0.842592592593
14_120.png,97,17,14,0.850877192982,0.873873873874,0.862222222222
15_120.png,84,2,31,0.976744186047,0.730434782609,0.835820895522
16_123.png,86,16,24,0.843137254902,0.781818181818,0.811320754717
17_125.png,63,17,20,0.7875,0.759036144578,0.773006134969
18_192.png,128,14,46,0.901408450704,0.735632183908,0.810126582278
19_209.png,154,21,29,0.88,0.841530054645,0.860335195531
1_31.png,31,15,0,0.673913043478,1.0,0.805194805195
20_242.png,163,3,63,0.981927710843,0.721238938053,0.831632653061
21_264.png,164,19,73,0.896174863388,0.691983122363,0.780952380952
22_264.png,272,30,62,0.900662251656,0.814371257485,0.85534591195
23_288.png,195,27,57,0.878378378378,0.77380952381,0.822784810127
24_cklab.png,22,7,11,0.758620689655,0.666666666667,0.709677419355
25_cklab.png,28,6,3,0.823529411765,0.903225806452,0.861538461538
26_cklab.png,39,9,18,0.8125,0.684210526316,0.742857142857
27_cklab.png,39,12,15,0.764705882353,0.722222222222,0.742857142857
28_cklab.png,205,25,72,0.891304347826,0.740072202166,0.808678500986
29_cklab.png,190,12,86,0.940594059406,0.688405797101,0.794979079498
2_34.png,33,15,3,0.6875,0.916666666667,0.785714285714
30_cklab.png,4,9,4,0.307692307692,0.5,0.380952380952
3_52.png,34,6,15,0.85,0.69387755102,0.76404494382
4_57.png,35,17,13,0.673076923077,0.729166666667,0.7
5_66.png,42,13,15,0.763636363636,0.736842105263,0.75
6_77.png,36,10,20,0.782608695652,0.642857142857,0.705882352941
7_82.png,51,18,11,0.739130434783,0.822580645161,0.778625954198
8_84.png,47,17,8,0.734375,0.854545454545,0.789915966387
9_89.png,80,21,6,0.792079207921,0.93023255814,0.855614973262
