Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\6\8_187.png", 1,197.75,187.25,1,0,1,134,7,18,56,207.44,187.687,180.5,9.20585,11.0003,10.4622, "2016-06-12 [上午4:44:17]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\6\8_187.png", 1,307.5,177.5,1,0,1,173,8,18,59,214.526,197.624,190.647,11.61,10.6417,10.5644, "2016-06-12 [上午4:44:17]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\6\8_187.png", 1,424.5,164.5,1,0,1,17,3,70,11,190.294,190.588,184.647,4.92225,4.92666,4.49691, "2016-06-12 [上午4:44:17]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\6\8_187.png", 1,298,162.5,1,0,1,16,3,22,24,200.688,194.25,190.438,3.3377,3.86138,3.09072, "2016-06-12 [上午4:44:17]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\6\8_187.png", 1,117,154,1,0,1,19,3,6,17,186.211,177.105,176.421,5.07275,4.17713,4.36101, "2016-06-12 [上午4:44:17]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\6\8_187.png", 1,170.5,149.5,1,0,1,182,8,12,57,209.714,189.368,184.462,10.7443,9.55568,9.04904, "2016-06-12 [上午4:44:17]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\6\8_187.png", 1,151.25,145.25,1,0,1,16,3,0,28,198.313,184.063,183.5,4.70336,4.8644,5.16833, "2016-06-12 [上午4:44:17]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\6\8_187.png", 1,146,139,1,0,1,20,3,18,32,200.15,189,183.6,6.65044,6.31977,5.77912, "2016-06-12 [上午4:44:17]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\6\8_187.png", 1,270,138.5,1,0,1,89,6,18,54,218.225,203.989,197.64,10.8366,10.8203,9.37767, "2016-06-12 [上午4:44:17]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\6\8_187.png", 1,167.5,134.5,1,0,1,20,3,16,22,198,190.45,187.35,7.81909,6.42656,6.74696, "2016-06-12 [上午4:44:17]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\6\8_187.png", 1,70.5,125,1,0,1,22,3,292,8,144.455,138.045,144.818,10.6565,10.3686,9.56333, "2016-06-12 [上午4:44:17]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\6\8_187.png", 1,174,115.5,1,0,1,39,4,14,15,181.949,175.436,173.205,12.5779,10.145,10.4657, "2016-06-12 [上午4:44:17]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\6\8_187.png", 1,233.5,110.5,1,0,1,19,3,6,19,198.895,191.316,189.632,5.26608,6.12016,6.70513, "2016-06-12 [上午4:44:17]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\6\8_187.png", 1,255.5,96.5,1,0,1,21,3,6,24,202.905,193.333,191.571,8.00275,6.87435,6.78645, "2016-06-12 [上午4:44:17]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\6\8_187.png", 1,319,96.5,1,0,1,100,6,26,47,214.67,205.16,196.52,16.0865,13.513,11.9913, "2016-06-12 [上午4:44:17]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\6\8_187.png", 1,270,81.5,1,0,1,88,6,26,73,216.489,198.432,184.795,13.2697,12.0821,10.5895, "2016-06-12 [上午4:44:17]: no comment"
