Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\9_337.png", 1,318,427.5,1,0,1,37,4,58,32,182.378,181.351,161.027,36.1694,35.3403,32.9818, "2016-06-12 [上午4:27:58]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\9_337.png", 1,359.5,418.5,1,0,1,22,3,64,33,193.909,195.227,177.091,30.7931,29.7132,27.9459, "2016-06-12 [上午4:27:58]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\9_337.png", 1,284.5,411.5,1,0,1,94,6,72,26,207.968,209.926,199.734,34.1763,34.2742,35.1022, "2016-06-12 [上午4:27:58]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\9_337.png", 1,270.75,409.25,1,0,1,18,3,68,26,183.944,185.611,170.056,19.2771,19.3216,19.2558, "2016-06-12 [上午4:27:58]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\9_337.png", 1,326,408.5,1,0,1,30,4,56,38,207,206.3,190,38.971,38.4069,37.3538, "2016-06-12 [上午4:27:58]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\9_337.png", 1,425.5,406.5,1,0,1,30,3,64,124,243.5,245.167,225.567,11.6262,10.9803,11.3624, "2016-06-12 [上午4:27:58]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\9_337.png", 1,216.5,404,1,0,1,36,4,52,55,213.056,210.139,190.389,30.6357,29.9196,28.5895, "2016-06-12 [上午4:27:58]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\9_337.png", 1,406.077,395.615,1,0,1,29,4,70,53,216.345,218.759,199.862,30.0318,29.7158,28.9565, "2016-06-12 [上午4:27:58]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\9_337.png", 1,181.5,392.5,1,0,1,29,3,34,75,224.483,213,198.069,22.7773,22.912,22.7239, "2016-06-12 [上午4:27:58]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\9_337.png", 1,264,384,1,0,1,21,3,72,30,193.19,195.905,180,25.2892,25.2897,24.6442, "2016-06-12 [上午4:27:58]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\9_337.png", 1,440.5,382.5,1,0,1,29,3,68,142,243.724,246.552,226.828,11.0855,10.2011,11.0997, "2016-06-12 [上午4:27:58]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\9_337.png", 1,247,381,1,0,1,30,4,64,31,199.967,201.133,186.233,24.6227,24.6019,23.876, "2016-06-12 [上午4:27:58]: no comment"
