FileName,TruePositive,FalsePositive,FalseNegative,Precision,Recall,F-measure
10_95.png,72,10,30,0.878048780488,0.705882352941,0.782608695652
11_95.png,48,22,47,0.685714285714,0.505263157895,0.581818181818
12_111.png,20,1,71,0.952380952381,0.21978021978,0.357142857143
13_117.png,28,3,70,0.903225806452,0.285714285714,0.434108527132
14_120.png,79,20,32,0.79797979798,0.711711711712,0.752380952381
15_120.png,96,14,19,0.872727272727,0.834782608696,0.853333333333
16_123.png,74,10,36,0.880952380952,0.672727272727,0.762886597938
17_125.png,33,17,50,0.66,0.397590361446,0.496240601504
18_192.png,123,16,51,0.884892086331,0.706896551724,0.785942492013
19_209.png,65,1,118,0.984848484848,0.355191256831,0.522088353414
1_31.png,26,27,5,0.490566037736,0.838709677419,0.619047619048
20_242.png,151,15,75,0.909638554217,0.66814159292,0.770408163265
21_264.png,104,25,133,0.806201550388,0.438818565401,0.568306010929
22_264.png,87,13,247,0.87,0.260479041916,0.400921658986
23_288.png,125,12,127,0.912408759124,0.496031746032,0.642673521851
24_cklab.png,24,24,9,0.5,0.727272727273,0.592592592593
25_cklab.png,23,2,8,0.92,0.741935483871,0.821428571429
26_cklab.png,42,10,15,0.807692307692,0.736842105263,0.770642201835
27_cklab.png,42,18,12,0.7,0.777777777778,0.736842105263
28_cklab.png,195,21,82,0.902777777778,0.703971119134,0.79107505071
29_cklab.png,178,17,98,0.912820512821,0.644927536232,0.755838641189
2_34.png,26,15,10,0.634146341463,0.722222222222,0.675324675325
30_cklab.png,6,3,2,0.666666666667,0.75,0.705882352941
3_52.png,43,9,6,0.826923076923,0.877551020408,0.851485148515
4_57.png,42,46,6,0.477272727273,0.875,0.617647058824
5_66.png,39,16,18,0.709090909091,0.684210526316,0.696428571429
6_77.png,19,12,37,0.612903225806,0.339285714286,0.436781609195
7_82.png,51,13,11,0.796875,0.822580645161,0.809523809524
8_84.png,46,8,9,0.851851851852,0.836363636364,0.844036697248
9_89.png,48,26,38,0.648648648649,0.558139534884,0.6
