Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\1\7_192.png", 1,326.5,361,1,0,1,73,5,166,37,129.986,162.397,155.247,35.5751,25.9387,21.8134, "2016-06-12 [上午3:31:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\1\7_192.png", 1,214,359.5,1,0,1,82,6,184,62,91.9756,146.598,151.317,43.1984,34.9004,27.2613, "2016-06-12 [上午3:31:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\1\7_192.png", 1,162,345,1,0,1,47,5,182,47,109.553,153.404,155.298,39.5502,27.6479,22.5643, "2016-06-12 [上午3:31:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\1\7_192.png", 1,384.5,341,1,0,1,25,3,176,35,99.68,131.84,130.36,37.9223,31.1538,22.8904, "2016-06-12 [上午3:31:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\1\7_192.png", 1,40.5,344,1,0,1,85,6,192,72,60.4824,96.5647,107.188,24.0996,28.7546,28.0083, "2016-06-12 [上午3:31:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\1\7_192.png", 1,141,328.5,1,0,1,192,8,178,50,111.594,158.74,158.26,25.0759,9.02502,6.07905, "2016-06-12 [上午3:31:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\1\7_192.png", 1,348.5,313,1,0,1,72,5,176,40,108.833,148.514,146.236,42.0342,32.4382,25.7299, "2016-06-12 [上午3:31:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\1\7_192.png", 1,118,294,1,0,1,51,5,184,47,102.235,144.588,147.529,43.3059,34.3097,27.5355, "2016-06-12 [上午3:31:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\1\7_192.png", 1,28.9,292.3,1,0,1,22,3,192,103,45.8182,94.6364,108.182,27.3053,28.7186,22.752, "2016-06-12 [上午3:31:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\1\7_192.png", 1,346,290.5,1,0,1,89,6,176,51,100.966,151.146,147.876,35.6982,22.7103,17.4794, "2016-06-12 [上午3:31:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\1\7_192.png", 1,176.5,288.5,1,0,1,95,6,182,49,119.126,161.958,162.905,25.3099,15.7826,12.5212, "2016-06-12 [上午3:31:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\1\7_192.png", 1,481.5,271,1,0,1,29,4,174,36,96.1724,127.517,125.276,35.4454,28.3264,20.5323, "2016-06-12 [上午3:31:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\1\7_192.png", 1,147.75,273.75,1,0,1,182,8,176,47,121.038,162.978,160.313,20.0198,8.1721,5.29359, "2016-06-12 [上午3:31:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\1\7_192.png", 1,189.5,268,1,0,1,61,5,180,42,117.59,157.098,157.049,35.134,23.883,18.6806, "2016-06-12 [上午3:31:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\1\7_192.png", 1,283.5,261,1,0,1,104,6,184,60,91.7885,145.327,149.365,43.4526,29.8948,20.8988, "2016-06-12 [上午3:31:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\1\7_192.png", 1,427,255.5,1,0,1,16,3,180,61,74.75,121.563,122.063,28.2041,23.5526,19.1331, "2016-06-12 [上午3:31:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\1\7_192.png", 1,385,256,1,0,1,97,6,178,49,99.3814,146,143.505,41.404,30.0804,21.6768, "2016-06-12 [上午3:31:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\1\7_192.png", 1,209.5,252.5,1,0,1,78,5,184,56,103.308,153.705,158.333,37.8143,20.5488,15.3774, "2016-06-12 [上午3:31:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\1\7_192.png", 1,322,248.5,1,0,1,89,6,180,45,107.708,151.697,151.506,37.9102,25.2716,17.0394, "2016-06-12 [上午3:31:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\1\7_192.png", 1,45.9,246.3,1,0,1,68,5,178,40,105.029,144.088,142.779,29.4501,14.0471,9.61743, "2016-06-12 [上午3:31:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\1\7_192.png", 1,407.5,242,1,0,1,17,3,166,42,103.706,144.882,136.471,27.933,24.5519,21.4626, "2016-06-12 [上午3:31:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\1\7_192.png", 1,113,243,1,0,1,51,5,182,47,107.255,151.922,152.784,27.9821,19.6945,14.9359, "2016-06-12 [上午3:31:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\1\7_192.png", 1,98.75,238.25,1,0,1,24,3,186,51,89.5833,130.75,134.833,42.9254,30.2051,22.1909, "2016-06-12 [上午3:31:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\1\7_192.png", 1,119.4,231.2,1,0,1,31,4,182,42,109.323,149.032,150.419,37.6249,27.8178,23.5586, "2016-06-12 [上午3:31:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\1\7_192.png", 1,174.5,222.5,1,0,1,90,6,184,57,97.6444,149.844,153.967,38.1499,23.1535,17.4469, "2016-06-12 [上午3:31:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\1\7_192.png", 1,309.692,217.462,1,0,1,70,5,172,30,120.071,147.686,144.471,42.472,32.5846,23.7946, "2016-06-12 [上午3:31:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\1\7_192.png", 1,71,214,1,0,1,29,4,186,45,97.4828,134.655,138.621,32.4803,23.6172,19.4249, "2016-06-12 [上午3:31:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\1\7_192.png", 1,273,212,1,0,1,77,6,180,46,113.675,156.688,156.545,31.1431,16.8001,13.1704, "2016-06-12 [上午3:31:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\1\7_192.png", 1,414.5,199,1,0,1,58,5,168,38,111.586,148.569,140.586,25.0796,15.1142,11.5684, "2016-06-12 [上午3:31:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\1\7_192.png", 1,45.5,181,1,0,1,15,3,192,68,68,107.333,116.6,33.1911,32.5714,24.9828, "2016-06-12 [上午3:31:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\1\7_192.png", 1,412,179,1,0,1,27,4,170,45,99.1481,141.444,134.37,31.3128,19.8549,13.85, "2016-06-12 [上午3:31:01]: no comment"
