Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\17_61.png", 1,339.5,250,1,0,1,70,5,42,70,209.2,197.657,174.071,27.4503,26.4412,24.5137, "2016-06-12 [上午4:34:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\17_61.png", 1,12,247.5,1,0,1,22,3,48,88,237.045,233.455,217.727,10.0125,10.3795,10.4973, "2016-06-12 [上午4:34:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\17_61.png", 1,443,220,1,0,1,198,9,50,85,243.985,241.914,233.404,13.2192,14.7156,20.3805, "2016-06-12 [上午4:34:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\17_61.png", 1,245,199.5,1,0,1,44,4,42,95,223.409,212.364,185.295,12.3824,11.41,10.0919, "2016-06-12 [上午4:34:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\17_61.png", 1,393,195.5,1,0,1,110,6,44,59,235.255,232.055,223.127,17.307,18.761,22.0903, "2016-06-12 [上午4:34:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\17_61.png", 1,332.5,181,1,0,1,76,5,46,63,235.263,232.461,222.237,16.0808,17.1559,19.099, "2016-06-12 [上午4:34:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\17_61.png", 1,264,173,1,0,1,42,4,40,92,231.048,221.881,203.786,14.5153,14.1279,14.2333, "2016-06-12 [上午4:34:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\17_61.png", 1,432.5,171.5,1,0,1,89,6,54,79,245.258,244.449,236.18,12.6836,13.6447,17.1903, "2016-06-12 [上午4:34:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\17_61.png", 1,313,167,1,0,1,206,9,44,60,241.917,239.587,233.83,13.5682,14.8588,18.1233, "2016-06-12 [上午4:34:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\17_61.png", 1,342,90.5,1,0,1,58,5,50,153,243.017,237.086,206.845,12.5138,14.9559,12.2722, "2016-06-12 [上午4:34:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\17_61.png", 1,185.5,93.5,1,0,1,212,9,38,38,232.448,229.146,223.972,17.1652,19.0208,21.7059, "2016-06-12 [上午4:34:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\17_61.png", 1,167,79,1,0,1,51,5,40,56,239.216,235.608,230.196,18.6628,20.3523,22.1549, "2016-06-12 [上午4:34:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\17_61.png", 1,116.5,62,1,0,1,28,4,54,220,251.821,248.464,213.857,5.36752,6.75377,5.66533, "2016-06-12 [上午4:34:01]: no comment"
"Z:\Documents\NTU_CKLab\ColonyCounterGroup\colony_algorithm_lab\colony-algorithm\data\4\17_61.png", 1,268,58,1,0,1,55,5,54,177,249.218,245.909,222.036,7.7033,9.69958,10.8386, "2016-06-12 [上午4:34:01]: no comment"
